month,year,quant,year_group
Ноя,2018,143519,2006 — 2019
Дек,2018,147225,2006 — 2019
Янв,2019,172451,2006 — 2019
Фев,2019,148496,2006 — 2019
Мар,2019,151913,2006 — 2019
Апр,2019,153867,2006 — 2019
Май,2019,154539,2006 — 2019
Июн,2019,137237,2006 — 2019
Июл,2019,151554,2006 — 2019
Авг,2019,143394,2006 — 2019
Сен,2019,139051,2006 — 2019
Окт,2019,157679,2006 — 2019
Ноя,2019,141331,2006 — 2019
Дек,2019,149165,2006 — 2019
Янв,2020,164075,2020
Фев,2020,143179,2020
Мар,2020,152740,2020
Апр,2020,150873,2020
Май,2020,172914,2020
Июн,2020,162758,2020
Июл,2020,181479,2020
Авг,2020,157181,2020
Сен,2020,170717,2020
Окт,2020,205456,2020
Ноя,2020,219872,2020
Дек,2020,243235,2020
